9731484,12387.0,0.00025281808,0.83,0.413,0.02964824120603015,13.93
9731484,12387.0,0.00025281808,0.83,0.431,0.030940416367552046,13.93
9731484,12387.0,0.00025281808,0.83,1.411,0.1012921751615219,13.93
9731484,12387.0,0.00025281808,0.83,2.657,0.19073941134242642,13.93
9731484,12387.0,0.00025281808,0.83,0.438,0.03144292893036612,13.93
9731484,12387.0,0.00025281808,0.83,0.45,0.03230437903804738,13.93
9731484,12387.0,0.00025281808,0.83,0.463,0.03323761665470208,13.93
9731484,12387.0,0.00025281808,0.83,0.474,0.034027279253409905,13.93
9731484,12387.0,0.00025281808,0.83,0.896,0.06432160804020101,13.93
9731484,12387.0,0.00025281808,0.83,0.489,0.03510409188801149,13.93
9731484,12387.0,0.00025281808,0.83,0.493,0.03539124192390524,13.93
9731484,12387.0,0.00025281808,0.83,0.495,0.03553481694185212,13.93
9731484,12387.0,0.00025281808,0.83,0.495,0.03553481694185212,13.93
9731484,12387.0,0.00025281808,0.83,0.494,0.03546302943287868,13.93
9731484,12387.0,0.00025281808,0.83,1.081,0.07760229720028715,13.93
9731484,12387.0,0.00025281808,0.83,1.579,0.11335247666905958,13.93
9731484,12387.0,0.00025281808,0.83,0.482,0.03460157932519742,13.93
9731484,12387.0,0.00025281808,0.83,0.478,0.03431442928930366,13.93
9731484,12387.0,0.00025281808,0.83,0.48,0.03445800430725054,13.93
9731484,12387.0,0.00025281808,0.83,0.47,0.03374012921751615,13.93
9731484,12387.0,0.00025281808,0.83,2.3,0.16511127063890882,13.93
9731484,12387.0,0.00025281808,0.83,0.821,0.058937544867193103,13.93
9731484,12387.0,0.00025281808,0.83,0.459,0.03295046661880833,13.93
9731484,12387.0,0.00025281808,0.83,0.518,0.03718592964824121,13.93
9731484,12387.0,0.00025281808,0.83,0.532,0.03819095477386935,13.93
9731484,12387.0,0.00025281808,0.83,0.484,0.03474515434314429,13.93
9731484,12387.0,0.00025281808,0.83,0.536,0.0384781048097631,13.93
9731484,12387.0,0.00025281808,0.83,0.516,0.03704235463029433,13.93
9731484,12387.0,0.00025281808,0.83,0.513,0.036826992103374014,13.93
9731484,12387.0,0.00025281808,0.83,0.518,0.03718592964824121,13.93
9731484,12387.0,0.00025281808,0.83,0.521,0.03740129217516153,13.93
